Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
465,7,467,2.2449332183e+02,2.2501044535e+02,2.2443649299e+02,2.2477807501e+02,-4.8296370711e-01,-5.5183834625e-01
467,1,339,2.2443649299e+02,2.2477807501e+02,2.2452531894e+02,2.2504923500e+02,-5.5183834625e-01,-1.0475231099e-01
339,3,371,2.2452531894e+02,2.2504923500e+02,2.2445508013e+02,2.2458674749e+02,-1.0475231099e-01,-4.2674184148e-01
371,0,115,2.2445508013e+02,2.2458674749e+02,2.2446487637e+02,2.2471526381e+02,-4.2674184148e-01,6.8104979029e-02
115,7,113,2.2446487637e+02,2.2471526381e+02,2.2448696240e+02,2.2495261189e+02,6.8104979029e-02,1.3656793003e-01
113,8,112,2.2448696240e+02,2.2495261189e+02,2.2453126074e+02,2.2504633949e+02,1.3656793003e-01,1.5857613174e-01
112,2,48,2.2453126074e+02,2.2504633949e+02,2.2453882874e+02,2.2541510675e+02,1.5857613174e-01,5.4398099034e-01
48,2,112,2.2453882874e+02,2.2541510675e+02,2.2453083570e+02,2.2504463626e+02,5.4398099034e-01,1.5834675965e-01
112,2,48,2.2453083570e+02,2.2504463626e+02,2.2453848828e+02,2.2541340177e+02,1.5834675965e-01,5.4375161825e-01
48,0,304,2.2453848828e+02,2.2541340177e+02,2.2456136983e+02,2.2529073780e+02,5.4375161825e-01,4.8527345383e-02
304,5,312,2.2456136983e+02,2.2529073780e+02,2.2442493370e+02,2.2486148941e+02,4.8527345383e-02,-1.3655800966e-01
312,2,376,2.2442493370e+02,2.2486148941e+02,2.2433833321e+02,2.2446161954e+02,-1.3655800966e-01,-5.2180668451e-01
376,8,377,2.2433833321e+02,2.2446161954e+02,2.2430444004e+02,2.2436710354e+02,-5.2180668451e-01,-5.4527564080e-01
377,4,361,2.2430444004e+02,2.2436710354e+02,2.2443806739e+02,2.2486484124e+02,-5.4527564080e-01,-2.8893376615e-01
361,0,105,2.2443806739e+02,2.2486484124e+02,2.2444312598e+02,2.2499158139e+02,-2.8893376615e-01,2.0615374960e-01
105,3,73,2.2444312598e+02,2.2499158139e+02,2.2443588452e+02,2.2544876378e+02,2.0615374960e-01,5.2973844001e-01
73,0,329,2.2443588452e+02,2.2544876378e+02,2.2445920190e+02,2.2532244557e+02,5.2973844001e-01,3.4172808388e-02
329,5,321,2.2445920190e+02,2.2532244557e+02,2.2455548080e+02,2.2580874317e+02,3.4172808388e-02,2.1955523675e-01
321,3,353,2.2455548080e+02,2.2580874317e+02,2.2443370437e+02,2.2533142871e+02,2.1955523675e-01,-9.7135082882e-02
353,3,321,2.2443370437e+02,2.2533142871e+02,2.2455227737e+02,2.2580659460e+02,-9.7135082882e-02,2.1941430670e-01
321,1,449,2.2455227737e+02,2.2580659460e+02,2.2446911294e+02,2.2553240846e+02,2.1941430670e-01,-2.2168122806e-01
449,0,193,2.2446911294e+02,2.2553240846e+02,2.2451054501e+02,2.2565695406e+02,-2.2168122806e-01,2.7117203362e-01
193,6,197,2.2451054501e+02,2.2565695406e+02,2.2441733158e+02,2.2526309439e+02,2.7117203362e-01,1.4770234684e-01
197,8,196,2.2441733158e+02,2.2526309439e+02,2.2444258755e+02,2.2535826001e+02,1.4770234684e-01,1.6976246830e-01
196,2,132,2.2444258755e+02,2.2535826001e+02,2.2445834888e+02,2.2576737177e+02,1.6976246830e-01,5.5566363534e-01
