Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
0,0,4,2.2500000000e+02,2.2500000000e+02,2.2463759052e+02,2.2481011115e+02,0.0000000000e+00,-1.2087814986e+00
4,1,6,2.2463759052e+02,2.2481011115e+02,2.2401361874e+02,2.2482665143e+02,-1.2087814986e+00,-1.9495960166e+00
6,0,2,2.2401361874e+02,2.2482665143e+02,2.2442612152e+02,2.2493399062e+02,-1.9495960166e+00,-7.1980628078e-01
2,1,0,2.2442612152e+02,2.2493399062e+02,2.2490755431e+02,2.2524117849e+02,-7.1980628078e-01,1.7826631535e-02
0,1,2,2.2490755431e+02,2.2524117849e+02,2.2442484665e+02,2.2493448783e+02,1.7826631535e-02,-7.1980628078e-01
2,2,3,2.2442484665e+02,2.2493448783e+02,2.2415473990e+02,2.2472261486e+02,-7.1980628078e-01,-9.8720760021e-01
3,0,7,2.2415473990e+02,2.2472261486e+02,2.2378921062e+02,2.2454025718e+02,-9.8720760021e-01,-2.1959919316e+00
7,2,6,2.2378921062e+02,2.2454025718e+02,2.2411572662e+02,2.2466870606e+02,-2.1959919316e+00,-1.9161354056e+00
6,0,2,2.2411572662e+02,2.2466870606e+02,2.2452440753e+02,2.2478978518e+02,-1.9161354056e+00,-6.8634566977e-01
2,0,6,2.2452440753e+02,2.2478978518e+02,2.2411615762e+02,2.2466836790e+02,-6.8634566977e-01,-1.9161354056e+00
6,0,2,2.2411615762e+02,2.2466836790e+02,2.2452483853e+02,2.2478944703e+02,-1.9161354056e+00,-6.8634566977e-01
2,2,3,2.2452483853e+02,2.2478944703e+02,2.2426197105e+02,2.2456865640e+02,-6.8634566977e-01,-9.5374698920e-01
3,1,1,2.2426197105e+02,2.2456865640e+02,2.2459628345e+02,2.2509558355e+02,-9.5374698920e-01,-2.1307051365e-01
1,2,0,2.2459628345e+02,2.2509558355e+02,2.2487876389e+02,2.2530498540e+02,-2.1307051365e-01,6.6860097000e-02
0,2,1,2.2487876389e+02,2.2530498540e+02,2.2459657118e+02,2.2509629034e+02,6.6860097000e-02,-2.1307051365e-01
1,0,5,2.2459657118e+02,2.2509629034e+02,2.2427726514e+02,2.2481385398e+02,-2.1307051365e-01,-1.4429054622e+00
5,1,7,2.2427726514e+02,2.2481385398e+02,2.2375391652e+02,2.2458559776e+02,-1.4429054622e+00,-2.1805616173e+00
7,1,5,2.2375391652e+02,2.2458559776e+02,2.2427765965e+02,2.2481455246e+02,-2.1805616173e+00,-1.4429054622e+00
5,1,7,2.2427765965e+02,2.2481455246e+02,2.2375431102e+02,2.2458629625e+02,-1.4429054622e+00,-2.1805616173e+00
7,1,5,2.2375431102e+02,2.2458629625e+02,2.2427805415e+02,2.2481525095e+02,-2.1805616173e+00,-1.4429054622e+00
5,0,1,2.2427805415e+02,2.2481525095e+02,2.2459691379e+02,2.2509704273e+02,-1.4429054622e+00,-2.1307051365e-01
1,1,3,2.2459691379e+02,2.2509704273e+02,2.2426229630e+02,2.2457024414e+02,-2.1307051365e-01,-9.5374698920e-01
3,0,7,2.2426229630e+02,2.2457024414e+02,2.2390307229e+02,2.2437575998e+02,-9.5374698920e-01,-2.1625313206e+00
7,0,3,2.2390307229e+02,2.2437575998e+02,2.2426258772e+02,2.2457030865e+02,-2.1625313206e+00,-9.5374698920e-01
3,1,1,2.2426258772e+02,2.2457030865e+02,2.2459690012e+02,2.2509723579e+02,-9.5374698920e-01,-2.1307051365e-01
1,2,0,2.2459690012e+02,2.2509723579e+02,2.2487938056e+02,2.2530663764e+02,-2.1307051365e-01,6.6860097000e-02
0,0,4,2.2487938056e+02,2.2530663764e+02,2.2453046734e+02,2.2509296038e+02,6.6860097000e-02,-1.1419214016e+00
4,2,5,2.2453046734e+02,2.2509296038e+02,2.2420739048e+02,2.2497653266e+02,-1.1419214016e+00,-1.4093490166e+00
5,0,1,2.2420739048e+02,2.2497653266e+02,2.2451661645e+02,2.2526886358e+02,-1.4093490166e+00,-1.7951406804e-01
1,1,3,2.2451661645e+02,2.2526886358e+02,2.2419986152e+02,2.2473113510e+02,-1.7951406804e-01,-9.2019054359e-01
3,1,1,2.2419986152e+02,2.2473113510e+02,2.2451630722e+02,2.2526898183e+02,-9.2019054359e-01,-1.7951406804e-01
1,2,0,2.2451630722e+02,2.2526898183e+02,2.2479160318e+02,2.2548774306e+02,-1.7951406804e-01,1.0041654261e-01
0,0,4,2.2479160318e+02,2.2548774306e+02,2.2445005529e+02,2.2526248000e+02,1.0041654261e-01,-1.1083649559e+00
4,1,6,2.2445005529e+02,2.2526248000e+02,2.2382756864e+02,2.2521638511e+02,-1.1083649559e+00,-1.8491794740e+00
6,1,4,2.2382756864e+02,2.2521638511e+02,2.2445040208e+02,2.2526298741e+02,-1.8491794740e+00,-1.1083649559e+00
4,1,6,2.2445040208e+02,2.2526298741e+02,2.2382791543e+02,2.2521689253e+02,-1.1083649559e+00,-1.8491794740e+00
6,0,2,2.2382791543e+02,2.2521689253e+02,2.2422757970e+02,2.2536504352e+02,-1.8491794740e+00,-6.1938973817e-01
2,2,3,2.2422757970e+02,2.2536504352e+02,2.2398007343e+02,2.2512716024e+02,-6.1938973817e-01,-8.8679105760e-01
3,0,7,2.2398007343e+02,2.2512716024e+02,2.2363466648e+02,2.2490907765e+02,-8.8679105760e-01,-2.0955753890e+00
7,2,6,2.2363466648e+02,2.2490907765e+02,2.2394666092e+02,2.2506961200e+02,-2.0955753890e+00,-1.8157188630e+00
6,2,7,2.2394666092e+02,2.2506961200e+02,2.2363403301e+02,2.2490924941e+02,-1.8157188630e+00,-2.0955753890e+00
7,0,3,2.2363403301e+02,2.2490924941e+02,2.2397972642e+02,2.2512741586e+02,-2.0955753890e+00,-8.8679105760e-01
3,2,2,2.2397972642e+02,2.2512741586e+02,2.2422706818e+02,2.2536573121e+02,-8.8679105760e-01,-6.1938973817e-01
2,0,6,2.2422706818e+02,2.2536573121e+02,2.2382785657e+02,2.2521727165e+02,-6.1938973817e-01,-1.8491794740e+00
6,0,2,2.2382785657e+02,2.2521727165e+02,2.2422752084e+02,2.2536542265e+02,-1.8491794740e+00,-6.1938973817e-01
2,0,6,2.2422752084e+02,2.2536542265e+02,2.2382830923e+02,2.2521696309e+02,-6.1938973817e-01,-1.8491794740e+00
6,1,4,2.2382830923e+02,2.2521696309e+02,2.2445114266e+02,2.2526356539e+02,-1.8491794740e+00,-1.1083649559e+00
4,1,6,2.2445114266e+02,2.2526356539e+02,2.2382865602e+02,2.2521747051e+02,-1.1083649559e+00,-1.8491794740e+00
6,2,7,2.2382865602e+02,2.2521747051e+02,2.2351083828e+02,2.2506765645e+02,-1.8491794740e+00,-2.1290360000e+00
7,0,3,2.2351083828e+02,2.2506765645e+02,2.2386363680e+02,2.2527413582e+02,-2.1290360000e+00,-9.2025166860e-01
3,0,7,2.2386363680e+02,2.2527413582e+02,2.2351112737e+02,2.2506773068e+02,-9.2025166860e-01,-2.1290360000e+00
7,1,5,2.2351112737e+02,2.2506773068e+02,2.2402238360e+02,2.2532335577e+02,-2.1290360000e+00,-1.3913798449e+00
5,0,1,2.2402238360e+02,2.2532335577e+02,2.2432630699e+02,2.2562119574e+02,-1.3913798449e+00,-1.6154489635e-01
1,1,3,2.2432630699e+02,2.2562119574e+02,2.2401926521e+02,2.2507786255e+02,-1.6154489635e-01,-9.0222137191e-01
3,2,2,2.2401926521e+02,2.2507786255e+02,2.2427025466e+02,2.2531233313e+02,-9.0222137191e-01,-6.3482005248e-01
2,2,3,2.2427025466e+02,2.2531233313e+02,2.2401910739e+02,2.2507829711e+02,-6.3482005248e-01,-9.0222137191e-01
3,0,7,2.2401910739e+02,2.2507829711e+02,2.2367037660e+02,2.2486557001e+02,-9.0222137191e-01,-2.1110057033e+00
7,1,5,2.2367037660e+02,2.2486557001e+02,2.2417694098e+02,2.2513037116e+02,-2.1110057033e+00,-1.3733495482e+00
5,1,7,2.2417694098e+02,2.2513037116e+02,2.2367072161e+02,2.2486629422e+02,-1.3733495482e+00,-2.1110057033e+00
7,1,5,2.2367072161e+02,2.2486629422e+02,2.2417728599e+02,2.2513109537e+02,-2.1110057033e+00,-1.3733495482e+00
5,1,7,2.2417728599e+02,2.2513109537e+02,2.2367106661e+02,2.2486701844e+02,-1.3733495482e+00,-2.1110057033e+00
7,2,6,2.2367106661e+02,2.2486701844e+02,2.2398550092e+02,2.2502271969e+02,-2.1110057033e+00,-1.8311491773e+00
6,2,7,2.2398550092e+02,2.2502271969e+02,2.2367043588e+02,2.2486719995e+02,-1.8311491773e+00,-2.1110057033e+00
7,2,6,2.2367043588e+02,2.2486719995e+02,2.2398487018e+02,2.2502290121e+02,-2.1110057033e+00,-1.8311491773e+00
6,0,2,2.2398487018e+02,2.2502290121e+02,2.2438179842e+02,2.2517823380e+02,-1.8311491773e+00,-6.0135944147e-01
2,2,3,2.2438179842e+02,2.2517823380e+02,2.2413862126e+02,2.2493592680e+02,-6.0135944147e-01,-8.6876076090e-01
3,1,1,2.2413862126e+02,2.2493592680e+02,2.2442699940e+02,2.2548932995e+02,-8.6876076090e-01,-1.2808428535e-01
1,0,5,2.2442699940e+02,2.2548932995e+02,2.2413282011e+02,2.2518080899e+02,-1.2808428535e-01,-1.3579192339e+00
5,1,7,2.2413282011e+02,2.2518080899e+02,2.2363073563e+02,2.2490895267e+02,-1.3579192339e+00,-2.0955753890e+00
7,2,6,2.2363073563e+02,2.2490895267e+02,2.2394273007e+02,2.2506948702e+02,-2.0955753890e+00,-1.8157188630e+00
6,0,2,2.2394273007e+02,2.2506948702e+02,2.2433721433e+02,2.2523092561e+02,-1.8157188630e+00,-5.8592912716e-01
2,0,6,2.2433721433e+02,2.2523092561e+02,2.2394319280e+02,2.2506919377e+02,-5.8592912716e-01,-1.8157188630e+00
6,2,7,2.2394319280e+02,2.2506919377e+02,2.2363056489e+02,2.2490883119e+02,-1.8157188630e+00,-2.0955753890e+00
7,0,3,2.2363056489e+02,2.2490883119e+02,2.2397625829e+02,2.2512699763e+02,-2.0955753890e+00,-8.8679105760e-01
3,0,7,2.2397625829e+02,2.2512699763e+02,2.2363085134e+02,2.2490891505e+02,-8.8679105760e-01,-2.0955753890e+00
7,0,3,2.2363085134e+02,2.2490891505e+02,2.2397654474e+02,2.2512708149e+02,-2.0955753890e+00,-8.8679105760e-01
3,0,7,2.2397654474e+02,2.2512708149e+02,2.2363113779e+02,2.2490899891e+02,-8.8679105760e-01,-2.0955753890e+00
7,0,3,2.2363113779e+02,2.2490899891e+02,2.2397683119e+02,2.2512716535e+02,-2.0955753890e+00,-8.8679105760e-01
3,0,7,2.2397683119e+02,2.2512716535e+02,2.2363142424e+02,2.2490908277e+02,-8.8679105760e-01,-2.0955753890e+00
7,2,6,2.2363142424e+02,2.2490908277e+02,2.2394341869e+02,2.2506961712e+02,-2.0955753890e+00,-1.8157188630e+00
6,0,2,2.2394341869e+02,2.2506961712e+02,2.2433790294e+02,2.2523105570e+02,-1.8157188630e+00,-5.8592912716e-01
